Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Aksam Sefasi,Türk,45 dk,"400 gr Patates 
500 gr Eriste  
5 Arpacik Sogani  
1.5 Kahve Fincani Margarin  
300 ml Kirmizi Sarap  
2 ÇorbaKasigi Sirke, tuz  
2 Et Suyu Tableti, karabiber  
1/2 Demet Maydanoz  
400 gr Lahana 
3 Yumurta  
6 Somon Fileto 

1 Limon  
150 gr Süt Kremasi","Patatesleri kabuklarini soymadan haslayin. Suyunu süzüp kabuklarini 
soyun. iri iri rendeleyin. Soganlari soyup uzunlamasina dograyin. 1 çorba 
kasigi margarin eritip sogan, sarap ve sirkeyi ekleyin. Tenceredeki karisim 
yariya inene kadar pisirin. Et suyu tableti ve yarim su bardagi su ekleyin. 
Tuz ve karabiber ekleyin.  
Maydanozu yikayip yapraklarini ayiklayin. Lahanayi yikayip ayiklayin. 
Yaprak kisimlarinda bulunan sert damarlari kestikten sonra küçük küpler 
halinde dagrayin. 2 dakika haslayin.  
Firini 250 dereceye ayarlayip önceden isitin. Yumurtalarin aklarini ve 
sarilarini ayirin. Lahanayi kalan süt kremasi ve maydanozla karistirip püre 
haline getirin. Patatesleri, yumurta sarilari ve limon kabugunu karistirin. 
Yumurta aklarini köpük halini alincaya kadar çirpin. Baligi margarinde 
hafifçe kavurup firin tepsisine alin. Sebzeleri üzerine yayip 15 dakika 
firinda pisirin. Eristeyi haslayin. Soganli karisimi tekrar isitin. Baligi soganli 
karisim ve eriste esliginde servis yapin"
Alabalik Izgara,Türk,25dk,"4 adet büyük alabalik  
4 adet küçük domates  
12 adet defne yapragi  
2 adet kirmizi sogan  
Roka","Alabaligin karnini yarip içini temizleyin. Bütün kilçigini çikarin.  
Alabalik filetolarin içine domates ve limon dilimleri ile defne yapraklarini 
yerlestirin.  
Alabaliklari yaglanmis tepsiye dizin. 200 derece isitilmis firinda üzerleri 
kizarincaya kadar pisirin.  
Yaninda roka marul ve halka seklinde dogranmis kirmizi sogan ile sicak 
olarak servis yapin."
Avakado ve Füme Somonlu Krep,Türk,30dk,"Krep hamuru için:  
1 su bardagi un  
2 adet yumurta  
1/2 su bardagi süt  
2 çorba kasigi sivi yag  
1 çay kasigi tuz  
 
Içi için:  
2 adet avokado  
1 limonun suyu  
1/2 demet dereotu  
1/2 kutu labne peyniri  
Tuz, karabiber","Krep hamurunu hazirlamak için, un, süt, sivi yag ve tuzu karistirin. 
Yumurtalari ekleyip karistirmaya devam edin. Hamuru 15 dakika 
dinlendirin. Hazirladiginiz karisimdan 1 kepçe alip, 24 cm çapinda 
yaglanmis bir teflon tavaya dökün. Krebin iki tarafini da pisirin. Hamur 
bitinceye kadar ayni islemi tekrarlayin.  

Avokadolari, kabuklarini soymadan uzunlamasina ortadan ikiye kesin. 
Çekirdeklerini çikarin. Çay kasigi ile oyarak içlerini bosaltin. Avokado 
parçalarinin üzerine limon suyu sikin.  
Avokado, labne peyniri, tuz, karabiber ve derotunu blendirda karistirin. 
Kreplerin içine avokadolu karisimdan sürün. Üzerine 1 dilim füme somon 
koyup rulo seklinde sarin. Krepleri buzdolabinda 1 saat dinlendirin. 
Dilimleyip, servis yapin."
Bademli Alabalik Tava,Türk,20 dk,"4 adet alabalik fileto  
50 gr un  
3 adet çirpilmis yumurta  
100 gr kizarmis file badem  
Yeterince tuz ve biber  
Kizartma için 1 su bardagi sivi yag","Önce baliklari tuz ve biberleyin. Daha sonra her iki tarafini da una bulayip 
çirpilmis yumurtaya batirin. Bir tavada kizgin yagda her iki tarafini da 
kizartin. 
Roko, yesil sogan ve limonla birlikte servis edin. En son file bademleri 
baligin üstüne serpin"
Balik Graten Sebzeli,Fransiz,30dk,"4 Beyaz Etli Balik 
 
2 Dilim Ekmek 
 
1 Çorba Kasigi Tereyagi 
 
50 gr Kasar Rendesi 
 
1 Çay Kasigi Hardal  

 
2 Havuç  
 
4 Küçük Patates  
 
1 Çarliston Biber","Baliklari temizleyip yikayin. Süzüp üzerine tuz ve karabiber serptikten 
sonra 5-10 dakika marine edin. Baliklarin her iki yüzüne tereyagi sürüp 
alüminyum folyoya sarin. Orta isili firinda 8-10 dakika pisirin.  
Ekmek içini ufalayip alüminyum folyoya serin ve kizgin firina verip kizartin. 
Firindan alip kasar peyniri ve hardalla karistirin. Baliklari firin tepsisine 
dizin. Hazirladiginiz ekmekli karisimi baliklarin üzerine yayin. Orta isili 
firinda 8-10 dakika daha pisirin.  
Havuç ve patatesleri soyun. Havuç ve biberi uzun seritler halinde 
dograyin. Patatesleri ikiye bölün. Hepsini tuzlu suda 10 dakika kadar 
haslayip süzün. Baliklari firindan çikarip servis tabagina alin. Patates, 
havuç ve biber esliginde sicak olarak servis yapin"
Balikçi Limonlari,Bilinmiyor,30dk,"6 Adet Marul Yapragi  
6 Adet Limon  
250 gr. Konserve Ton Baligi  
3 Tatli Kasigi Limon Suyu  
2 Adet Yumurta, Tuz  
3 Çorba Kasigi Mayonez  
1 Çay Kasigi Karabiber  
Süslemek Için:1 Adet Haslanmis Yumurta  
2 Çorba Kasigi Maydanoz","Servis tabagina marul yapraklarini yerlestirin. 6 adet limonu ortadan ikiye 
kesin. Içlerini küçük bir kasik yardimiyle bosaltin. Altlarindan ufak parçalar 
kesip düzgün durmalarini saglayin. Limonlari salata yapraklari üzerine 
yerlestirin.  
Diger taraftan konserve ton baligini çatalla iyice ezin. 3 tatli kasigi limon 
suyu, haslanip küçük küçük dogranmis 2 adet yumurta, tuz, 1 çay kasigi 
karabiber ve 3 çorba kasigi mayonezi de beligin üzerine ekleyin. 

Hazirladigimiz bu harci limonlarin içine doldurun. Ince ince kiyilmis 
maydanoz ve yumurta ile süsleyip servis yapin."
Balikli Krep,Fransiz,90dk,"2 Çorba Kasigi Un  
1 Yumurta  
Karabiber  
4 Çorba Kasigi Süt  
150 gr Füme Somon  
4 Çorba Kasigi Süt Kremasi  
1 Salatalik  
2 Tatli Kasigi Limon Suyu  
4 Çorba Kasigi Sivi Yag  
1 Demet Dereotu  
50 gr Havyar","Un, süt ve yumurtayi karistirin. Olusturdugunuz hamuru 30 dakika kadar 
dinlendirin Yapismaz bir tavada yag isitin ve iki tane krep pisirin. Kreplerin 
sogumasini bekleyin.  
Füme somonlari esit olarak kreplerin üzerine yayin. Kenarlarinda bosluk 
kalmasina dikkat edin. Süt kremasini tuz ve karabiberle tatlandinn. 
Kremayi somonlarin üzerine sürün. Krepleri rulo yapip alüminyum folyo ile 
kaplayin. 45 dakika buzlukta bekletin.  
Salataligi yikayip kabugunu soymadan dilimleyin. Siviyag, limon suyu, tuz 
ve karabiberden bir marinat olusturun.  
Dereotunu yikayip ayiklayin. Sap kisimlanni kesip kalan kisimlanni ince 
ince kiyin. Krep rulolanni dokuz ince dilim halinde dograyin. Tabaklara 
üçer dilim yerlestirin. Marinati üzerinde gezdirin. Dereotu, salatalik, 
havyarla süsleyin."
Barbunya Printaniye,Türk,30dk,"1 kg barbunya  

 
4 adet domates  
 
1 adet patlican  
 
3 adet patates  
 
1/3 bardak zeytinyagi  
 
Yarim demet maydanoz  
 
3 dis sarimsak  
 
3 tane yesil sivri biber  
 
1 tatli kasik kekik  
 
1 adet defne  
 
Yeteri kadar tuz, karabiber","Baliklari temizleyip yikayin. Tüm soyulmus patlican ve patatesleri 1 
parmak kalinlikta yuvarlak dilimlere, sogan, sarimsak, yesil biber ve 2 
domatesi de ufak parçalara dograyip firin tepsisine veya güvece 
yerlestirin.  
Kiyilmis maydanoz, defne, kekik, tuz, karabiber, zeytinyagi ve limonu da 
ilave edin. Bunlarin üzerine barbunyayi yariya kadar gömerek yerlestirin. 
Orta isili bir firinda pisirin. Limon ilavesiyle servise sunun."
Barbunya Tavasi,Türk,30dk,"1 kg barbunya (temizlenip, yikanmis, kurulanmis) 
 
1/2 çay kasigi tuz 
 
beyazbiber 
 
1 su bardagi bira 
 
3 su bardagi elenmis un 

 
1/2 su bardagi zeytinyagi ya da ayçiçek yagi 
 
1 limon (süsleme için) 
 
1/2 bag maydanoz (süsleme için) 
 
5 çorba kasigi Margarin","Baliklari tuzlayip, biberleyin ve biraya batirin. Una bulayip, fazla ununu 
silkeledikten sonra baliklari tavada kizdirdiginiz zeytinyaginda, her iki 
tarafi da kizarana dek kizartin.  
Kagit havlu üzerinde fazla yaglarini süzdürün. Önceden isitilmis tabaklara 
alin.  
Margarini bir tavada eritin. Yag iyice kizip, kahverengilesmeye baslar 
baslamaz baliklarin üzerine dökün. Barbunya tavasini limon ve 
maydanozla süsleyip, sicak olarak servis yapin."
Amerikan Usulü Pirinçli Güveç,Amerikan,45 dk,"1 Su Bardagi Amerikan Pirinci  
3 Çorba Kasigi Soya Yagi  
350 gr Salam  
200 gr Sosis  
1 Sogan  
1 Dis Sarimsak  
1 Salçalik Kirmizi Biber  
200 gr Domates  
2 Su Bardagi Tavuk Suyu  
12 Siyah Zeytin  
1 Çay Kasigi Tuz  
1 Çay Kasigi Taze Çekilmis  
Karabiber","Salami ince ince dilimleyin. Sosisleri küçük dograyin. Sogan, sarimsak ve 
kirmizi biberi ince ince dograyin.  
Soya yagini güveçte kizdirip salam ve sosisi kavurun. Sogan ve sarimsagi 
ekleyip pempelesinceye kadar 2-3 dakika pisirin. Kirmizi biberi ilave edip 

kavurun. Pirinci yikayip süzün. Salamli karisima ilave edip ara sira 
karistirarak 3-4 dakika pisirin.  
Domateslerin kabuklarini soyup dograyin. Domates ve tavuk suyunu 
güvece ekleyip karistirin. Kaynayinca atesi kisip kapagi kapali olarak 15- 
20 dakika pisirin. Zeytinlerin çekirdeklerini çikarin. Tuz, karabiber ve 
zeytinleri yemege ilave edip iyice karistirin. Sicak olarak servis yapin."
Bademli ve Kasar Peynirli Sebze,Diger,60dk,"800 gr Patates  
200 gr Bezelye  
1 Adet Sogan  
100 gr Jambon  
1 Adet Mozzarella ya da Dil Peyniri  
4 Adet Domates  
60 gr Badem  
Maydanoz  
Etsuyu  

Rendelenmis Parmesan Peyniri Veya Eski Kasar  
Tereyagi","Bir tavaya koydugunuz 20 gr (1 Çorba kasigindan biraz fazla) tereyaginda, 
dogranmis sogani öldürün. Bezelyeleri tuzunu ve karabiberini ekleyip 
birkaç dakika karistirarak pisirin 
Patatesleri yikayip soyduktan sonra ince ince dilimleyin. Yagladiginiz bir 
firin tepsisinin dibine ilk patates katini dizin  
Üstüne bezelyelerin yarisini, dilimlenmis mozzarelle ya da dil peynirinin 
yarisini, küp seklinde dogranmis domates ve jambonun yarisini döseyin.  
Tuz, karabiber ilave ettikten sonra ikinci patates katini dizin. Diger 
malzemelerin kalanini da ayni sirayla koyup islemi bitirin. 
Tüm yüzeyini 2 çorba kasigi kiyilmis maydanoz, ince dilimlenmis badem ve 
2 çorba kasigi parmesan peyniri ya da eski kasar rendesiyle kaplayin.  
Tüm malzemenin üstüne 4 kepçe etsuyu döktükten sonra kabi, önceden 
isittiginiz 180 derecelik firina verin. 45 dakika sonra çikarip ayni kapta 
servis yapin."
Benzersiz Mantarlar,Türk,40dk,"500-600 gr Mantar  
75 gr Tereyagi  
2/3 Tatli kasigi Konyak  
1 Tatli Kasigi Un  
1/4 Litre Taze Çig Krema  
1 Demet Maydanoz  
1/2 Limon Suyu  
Tuz, Karabiber","Mantarlarin hemen dibinden saplarini kesin, topakli köklerini çikarip soyun. 
Nemli bir bezle bas kisimlarini temizleyin.  
Tereyagini genisce bir tavada eritin. Tam sararmadan mantarlari ekleyin. 
Bas kisimlarini bütün bütün, saplarini da iki-üç parçaya ayirmis olarak 
atmalisiniz yaga. Harli ateste iki dakika pisirin. Bu arada tahta kasikla 
karistirin ve mantarlar yagi çekince konyak döküp alevleyin. Alevin 
sönmesine yakin tuz ve biber atin.  
Ince kiyilmis maydanozu ekleyin, tiritini koyulastirmak için harli ateste 
pisirmeye birakin. Üstüne un serpin.Iyice karistirin. Çig kremayi tamamen 

bosaltin ve sos koyulasincaya kadar karistirmaya devam ederek kaynatin. 
Sonra altini kisin ve biraz daha pisirip sicak sicak servis yapin. Tadina 
baktiktan sonra gerekiyorsa limon suyunu üzerinde gezdirmelisiniz."
Borani,Türk,40 dk,"1 Kg Ispanak  
1 Çay Bardagi Siviyag  
3 Çorba Kasigi Un  
2 Çay Bardagi Süt  
1/2 Çay Bardagi Su  
Tuz  
Yogurt ve Sarmisak  
1 Çorba Kasigi Salça  
1 Çorba Kasigi Tereyagi","Ispanaklari bol suyla birkaç kere yikayin. Yapraklarini dallarindan ayirin. 
Bir tencerede, bir miktar tuzlu suyu kaynatin. Ispanaklarin yapraklarini 
kaynayan suya atip, 4-5 dakika kadar pisirerek yumusatin. Delikli 
kepçeyle çikarin. Bir süzgecin içine koyarak fazla suyunu salmasini 
bekleyin.  
Küçük bir tencereye bir çay bardagi sivi yagi koyun. Içine unu ilave edin. 
Sürekli karistirarak un pembelesinceye kadar kavurun. Süt ve suyu ilave 
edin. Bu karisim koyu muhallebi kivamina gelince içine ispanaklari ekleyin. 
1 dakika kadar birlikte kavurduktan sonta atesten alin.  
Üzerine sarmisakli yogurt yayin. Salçayi tereyagiyle birlikte biraz pisirin. 
Yemegin üzerine sosu gezdirip, servis yapin."
Cevirme,Türk,40dk,"Patlicanlari uzunlamasina keserek 10 dak. Tuzlu suda bekletip, suyunu 
süzün. Patlicanlari kizartin ve yaginin süzülmesini saglayin.  
Tavuklari kusbasi seklinde dograyin. Incecik kiyilmis soganla suyunu 
çekinceye kadar kavurun. Kenarda dinlendirin.  

Diger tarafta fistiklari kavurun. Pirinci tuzu ve yenibahari ilave ederek iç 
pilavi hazirlayin.  
Çukur bir tencerenin altina patlicanlari ortadan yukariya dogru yerlestirin. 
Tencerenin dibinin tamamen örtülmüs olmasina özellikle dikkat edin. 
Pilavin yarisini patlicanlarin üzerine yerlestirin. Bunun üzerine tavuklu 
harcii daha sonra da pilavin geri kalanini yayin.",AFIYET OLSUN
Cevizli Patlıcan,Türk,40dk,"1 kg patlican  
4 yemek kasigi un  
750 gr domates  
10 dis sarmisak  
100 gr ceviz  
1/2 çay bardagi zeytinyagi","Patlicanlari yuvarlak olarak kesin. Tuzlu suda biraz beklettikten sonra 
kizartin. Isiya dayanikli bir firin kabina dizin. Domatesleri soyup 
rendeleyin, sarimsaklari soyun ve iyice ezin.  
Unu zeytinyaginda kavurup, içine domates, sarmisak ve tuz katin. 
Pütürsüz ve koyu kivamli olunca sirke ve dövülmüs ceviz içini ilave edin.  
Hazirladiginiz sosu patlicanlarin üzerine döküp, en üstü kizarip, kesilicek 
katiliga ulasana kadar firinlayin. Soguyunca da dilimlere keserek servis 
yapin."
Doldurulmus Kabak,Türk,45 dk,"4 adet 150 gramlik kabak 
75 gr sogan 
1-2 dis sarimsak 
1 çorba kasigi sivi yag 

1 tatli kasigi degisik baharat 
225 gr dogranmis domates 
275 gr pirinç 
50 gr jambon 
75 gr çedar peyniri 
50 gr kuru ekmek ufagi 
Dilediginiz otlardan birkaç sap","Her kabagi uzunlamasina ikiye bölün. Etli kismini çikartip incecik kiyin. 
Sogan ve sarimsagi da ince ince dograyin.  
Teflon tavada zeytinyagini hafifçe kizdirin. Dogranmis kabak içi, sogan, 
sarimsak ve karisik baharati sote edin ve 4-5 dakika pisirin.  
Yikayip hasladiginiz pirinci süzüp, domatesle birlikte tavaya alin ve 10 
dakika kadar pisirin.  
Bos kabaklarin içine jambonu serin. Üzerine pirinçli karisimdan koyun. 
Çedar peyniri ve kuru ekmek ufaklarini serpistirdikten sonra yüksek isidaki 
firina atip 25 dakika, peynir eriyip ekmekler kizarincaya kadar kizartin. 
Dilediginiz dogranmis otlarla süsleyip, servis yapin.  
Yagsiz, haslanarak hazirlanan pilav, su çektigi için siser ve doyurucu olur."
Yogurtlu Sos,Süre: 10,10,"1/2 kg Yogurt 
1 Dilim Bayat Ekmek Içi 
2 Çorba Kasigi Süt 
1 Salatalik 
1 Çorba Kasigi Zeytinyagi 
5 Dis Sarimsak","Ekmek içini sütle islatip sikin. Sarimsagi ayiklayip ince ince kiyin. 
Salataliklari soyup incecik dilimleyerek bir kaba alin.  
Salatalik, kiyilmis sarimsak, ekmekiçi ve yogurdu karistirin. Yavas yavas 
zeytinyagini ekleyerek çirpin. Tuz ve karabiber serptikten sonra servis 
yapin."
Salata Sosu,Süre: 10dk,10dk,"3 çorba kasigi zeytinyagi 
 
Yarim demet dereotu  
 
1 dis sarimsak 
 
Yarim limon suyu 
 
1 tatli kasigi mayonez 
 
1 tatli kasigi tuz 
 
1 çay kasigi hardal","Dereotunu ayiklayip ince ince kiyin. Sarimsagi iyice ezin.  
Derin bir kapta dereotu, sarimsak, mayonez, hardal ve zeytinyagini 
karistirin. Limon suyu ve tuz ekleyip iyice çirpin. Salatalarin üzerine 
gezdirin."
Sebze Sosu,Bilinmiyor,25dk,"1 Sogan 
1 Dis Sarimsak 
1 Havuç 
2 Kereviz 
1 Çorba Kasigi Siviyag 
1 Çorba Kasigi Köri 
100 gr Haslanmis Taze Fasulye 
1/2 Çorba Kasesi Su 
2 Çorba Kasigi Limon Suyu 
1/2 Kase Süzme Yogurt","Sogani ince ince dograyin, sarimsagi ezin. Havucu temizleyip rendeleyin, 
kerevizi soyup küçük klipler halinde dograyin. Hazirladiginiz sebzeleri 

tencereye alip siviyagi ekleyin. Kapagi aralik olarak kisik ateste 10-12 
dakika pisirin.  
Sebzeler suyunu salmaya baslayinca köriyi ilave edip kokusunu birakmasi 
için 1-2 dakika bekleyin. Yarim kase su, limon suyu ve haslanmis 
fasulyeleri ekleyip tahta kasikla karistirarak 5 dakika pisirin. Gerekirse bir 
miktar daha su ekleyin.  
Hazirladiginiz karisimi blender veya mikserle pürüzsüz hale gelinceye 
kadar ezerek çirpin. Yogurdu ekleyin ve karistirarak krema kivaminda bir 
sos haline getirin. Kisik ateste 6-7 dakika kadar pisirin. Tuz, karabiber 
serpin ve sicak olarak servis yapin."
Sebzeli Domates Sosu,Bilinmiyor,90dk,"Yarim kg domates 
1 sogan 
1 küçük havuç 
1 kereviz 
Yarim demet maydanoz 

Birkaç feslegen yapragi 
2 çorba kasigi margarin 
Bir tutam tozseker","Bütün sebzeleri temizleyip küçük küçük dograyarak tencereye alin. Kendi 
suyuyla bir saat kadar ara sira karistirarak pisirin. Ilininca süzgeçten 
geçirin.  
Margarini tencerede eritip sebze püresini ilave edin. Tuz, karabiber ve 
tozsekeri ekleyip kisik ateste 20 dakika kadar pisirin.  
Sos çok koyu olursa bir miktar su ilave edebilirsiniz. Makarna ve sebze 
kizartmalari esliginde servis yapin."
Eksili Patates,Türk,30dk,"4 Patates  
1 Bas Sarmisak  

1/2 Demet Maydanoz  
1 Tatli Kasigi Biber Salçasi  
1 Su Bardagi Zeytinyagi  
1 Limon  
Tuz","Patatesleri soyup dilimleyin. Tavada zeytinyagini kizdirarak patatesleri 
kizartin. Servis tabagina alip düzgün bir sekilde dizin. Maydanozu ince 
kiyip servis tabagindaki patateslerin üzerine ilave edin.   
Sarimsagi havanda dövün ve patatesleri kizarttiginiz yagda hafifçe 
çevirerek salçayi ekleyin. Limon suyunu sikip pisirin.  
Servis tabagindaki patateslerin üzerine tuz serpip hazirladiginiz sarimsak 
sosunu dökerek servise sunun.  
 
 
 
 
  - 313 
  - 314 
  - 315 
  - 316 
  - 317 

  - 318 
  - 319 
  - 320 
  - 321 
  - 322"
Ali Nazik,Türk,40dk,"4 Adet Patlican  
3 Çorba Kasigi Margarin  
3 Kahve Fincani Un  
3 Kahve Fincani Süt  
2 Kahve Fincani Rendelenmis Kasar Peyniri  
2 Çorba Kasigi Margarin  
2 Adet Sogan  
250 gr Yagsiz Kiyma  
4 Adet Domates  
4 Adet Sivri Biber  
3 Kahve Fincani Et Suyu  
Tuz","Patlicanlari ateste közleyin. Sonra kabuklarini soyun ve bir çatal yardimi 
ile ezin. Genis bir tavada 3 çorba kasigi margarini eritin. 3 kahve fincani 
unu ilave edin. Pembelesene dek kavurun. Sonra sütü azar azar ekleyin. 
1-2 dakika çatalla ezilmis patlicanlari, 2 kahve fincani kasar rendesini 
tavaya aktarin.   
 
Ayri bir tavaya 2 çorba kasigi margarini koyun. Küçük dogranmis soganlari 
pembelesene dek kavurun. Kiymayi ilave edin. 2-3 dakika sonra küçük 
dogranmis domatesleri, sivri biberleri, 3 kahve fincaniet suyunu ve tuzu 
ekleyin. 10 dakika sonra atesten indirin. begendinin üzerine kiymali harci 
koyup, servis yapin."
Arpacik Soganli Bahçivan Kebabi,Türk,90dk,"1 kg. kusbasi kuzu eti  
30 adet arpacik sogani  
3 çorba kasigi tereyagi  

2 adet orta boy domates  
2 adet havuç  
250 gr. sultani  
bezelye  
Tuz, karabiber  
Kirmizi pul biber  
1/2 demet dereotu","Eti yikayip bir tencereye koyun. Tereyagi ile birlikte hafifçe kavurun. 
Halka seklinde dogranmis havucu ilave edin. Tencerenin kapagini kapatip, 
hafif ateste et yumusayip suyunu çekene kadar 1 saat pisirin.  
 
Et suyunu çekince, kabuklari soyulup iri dogranmis domates, havuç, 
bezelye, arpacik sogani, tuz, karabiber ve pul biberi ilave edin. Et 
yumusayip, kendi yagina kalincaya kadar hafif ateste 1 -1,5 saat pisirin. 
(Etin suyu azaldikça en fazla 2 su bardagi ilik su ekleyebilirsiniz.)  
 
Arpacik soganli bahçivan kebabini üzerine ince kiyilmis dereotu serptikten 
sonra sicak olarak sefis yapin."
Bademli Balik Kebabi,Türk,60 dk,"1 Kg Balik 
3 çorba kasigi Un 
60 gr margarin 
1 tatli kasigi Tuz 
1/2 tatli kasigi Karabiber 
150 gr Sogan 
250 gr Domates 
50 gr Badem 
400 gr Patates 
1/2 demet Maydanoz 
2-3 bardak Su 
1 küçük yaprak Defne","Ön hazirlik olarak baligi temizleyin. Bunun için keskin bir biçakla karnini 
yarin. Iç organlarini çikarip, atin. Galsemalarini da çikarip, atin. Varsa 

pullarini kaziyin. Eger büyük balik kullaniyorsaniz, fileto çikarip, kusbasi 
büyüklügünde parçalar halinde dograyin. Küçük baliklari bütün olarak 
birakin.  
Sogani ayiklayip, küçük küpler halinde dograyin. Domatesleri, kabuklarini 
soyup çekirdeklerini temizledikten sonra, iri zar biçimi dograyin. Bademi 
küçük bir kaba koyun. Üzerini örtecek kadar su ilave edin. Orta ateste 
birkaç dakika kaynatin. Kabi atesten alip, suyu süzün. Bademlerin 
üzerinden soguk su geçirin. Kabuklarini soyup, atin. Badem içlerini bir 
kenarda saklayin.  
Patatesi soyup, iri zar biçimi dograyin. Maydanozu, yikayip iyice 
kuruladiktan sonra, ince kiyin.  
Unla tuzu karistirin. Baliklari bu karisima bulayin. Fazla unlarini silkeleyip, 
atin. Yagin yarisini orta boy bir tencerede, orta ateste eritin. Yag kizmaya 
baslayinca unlanmis baliklari koyup. 5-6 dakika, birkaç kere alt üst ederek 
kizartin. Kizarmis baliklari bir kaba aktarin. Tenceredeki yagi dökün.  
Ayni tencerede, kalan yagi orta ateste eritin. Yag kizinca sogan ve 
ayiklanmis badem içlerini koyup, bir kasikla sik sik karistirarak, birkaç 
dakika, bademler sararip soganlar pembelesmeye baslayincaya kadar 
pisirin. Kaba domatesleri ilave edin. Yine ara sira karistirarak, birkaç 
dakika daha pisirin.  
Baligi ve patatesi tencereye koyun. Biberini serpin. Maydanozu serpistirin. 
Baliklarin üzerini örtecek kadar su ilave edin. Defneyi koyun. Atesi kisin. 
Tencerenin kapagini sikica örtün. Bademli balik kebabini, kullandiginiz 

baligin cinsine bagli olarak, 10 ila 15 dakika arasinda, balik pisinceye 
kadar ateste tutun. Gerekirse, pisirme süresini uzatin."
Bahçivan Kebabi,Türk,45 dk,"600 gr Kuzu kusbasi 
60 gr margarin 
150 gr Arpacik sogani 
150 gr Havuç 
150 gr Bezelye 
200 gr Domates 
1 tatli kasigi Tuz 
150 gr Çali fasulyesi 
150 gr Kabak 
50 gr Dolmalik biber 
1/2 demet Dereotu 
Baharat torbasi 
2.5 bardak Su","Ön hazirlik olarak arpacik soganlarini ayiklayip, bütün olarak birakin. 
Havucu kaziyin. Iri zar biçimi dograyin. Bezelyeyi ayiklayin. 
Domatesi, kabuklarini soyup çekirdeklerini temizledikten sonra, iri zar 
biçimi dograyin. 
Çali fasulyesinin kilçiklarini ayiklayin. Kabagi kaziyin. Dolmalik biberin sap 
ve çekirdekli kisimlarini alip, atin. Her üç sebzeyi de, havuçta oldugu gibi, 
iri zar biçimi dograyin.  
Dereotunu yikayip iyice kuruladiktan sonra, ince kiyin. 
Yagin üçte birini oita boy bir tencerede, otta ateste eritin. Yag kizmaya 
baslayinca arpacik sogani, havuç ve çali fasulyesini ilave edip. ara sira 
karistirarak, 3-4 dakika sote edin. Dolmalik biber ve kabagi da katip, 
birkaç dakika daha sote ettikten sonra, tencereyi atesten alin.  
Kalan yagi, büyük bir tencerede, oita ateste eritin. Yag kizmaya 
baslayinca, kusbasi dogranmis kuzu etini ilave edin. 
Atesi açin. Etleri bir kevgirle ara sira karistirarak, 5-6 dakika, 
pembelesinceye kadar sote edin. 
Domatesi katin. Ara sira karistirmaya devam ederek, birkaç dakika daha 
pisirin.  
Tuzunu koyup, karistirin. Sebzeleri katin. Baharat torbasini ekleyin. 
Suyunu ilave edip, bir tasim kaynatin. Bu arada tencerenin üzerinde 
olusan kefi, bir kevgirle alip, atin.  

Atesi kisin. Tencerenin kapagini sikica örtün. Kebabi, agir ateste 25-30 
dakika, etler yumusayincaya kadar pisirin. Bu süre içinde, ara sira 
tencerenin kapagini açip, etlerin pisip pismedigini kontrol edin. Gerekirse 
pisirme süresini uzatin."
